,School,Director of admissions,Application fee,Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Acceptance rate (postbaccalaureate certificate),ApplicationsPostbaccalaureate,Percent of new entrants providing GPA scoresPostbaccalaureate,Average undergraduate GPAPostbaccalaureate,Percent of new entrants providing verbal GRE scoresPostbaccalaureate,Percent of new entrants providing quantitative GRE scoresPostbaccalaureate,Percent of new entrants providing writing GRE scoresPostbaccalaureate,Average GRE scorePostbaccalaureate,Average GRE analytical writing scorePostbaccalaureate,GRE policyPostbaccalaureate,Acceptance rate (master's),Applications(Master's),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Percent of new entrants providing writing GRE scores(Master's),Average GRE score(Master's),Average GRE analytical writing score(Master's),GRE policy(Master's),Acceptance rate (education specialist),Enrollment,Applications(Education Specialist),Percent of new entrants providing GPA scores(Education Specialist),Average undergraduate GPA(Education Specialist),Percent of new entrants providing verbal GRE scores(Education Specialist),Percent of new entrants providing quantitative GRE scores(Education Specialist),Percent of new entrants providing writing GRE scores(Education Specialist),Average GRE score(Education Specialist),Average GRE analytical writing score(Education Specialist),GRE policy(Education Specialist),Degree programs offered,Categories of study offered to education specialist students,Any programs in education offered off campus,Offers online program in education,Certificate program graduates,Master's program graduates,Education specialist program graduates,Doctoral program graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or tenure track),Part-time faculty,Full-time faculty with doctoral degrees,Full-time tenured or tenure-track faculty who received awards or were editors of educational journals during 2020 and 2021,Total enrollment,Total enrollment (full-time),Minority students,International students,Student diversity (full-time),Financial aid director,Financial aid phone,"Tuition (postbaccalaureate, full-time)","Tuition (postbaccalaureate, part-time)","Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (education specialist, full-time)","Tuition (education specialist, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Type of education school,Memberships,School accredited by the National Council for Accreditation of Teacher Education (NCATE),School accredited by the Teacher Education Accreditation Council (TEAC),School accredited by the Council for Accreditation of Education Preparation (CAEP),Initial teacher preparation levels offered,Total students in certificate-level teacher training programs,Total students in master's teacher training programs,Total students in education specialist degree teacher training programs,Total graduate students in teacher training programs,Number of certificate programs completed,Number of teacher training master's degrees awarded,Number of teacher training education specialist degrees awarded,Number of full-time tenured or tenure-track faculty involved in teacher training programs,Are professional development/partnership schools used in teaching programs?,Are students in internships or doing practice teaching assigned to peer working groups?,Are students in internship/practice teaching programs mentored?,Students who took an assessment to become a certified or licensed teacher during 2020-2021,Number of these students who passed the assessment,Number of 2021 graduates licensed to teach,Number of 2021 graduates who accepted teaching positions for fall 2021,Number of 2019 graduates licensed to teach,Number of 2019 graduates who accepted teaching positions for fall 2018,Number of these 2019 graduates who were still employed as teachers in fall 2021,Application deadlines,Advanced teacher preparation levels offered,"Of students reporting specialty information, percent specializing in",Programs/courses offered in,Categories of study offered to master's students,Gender distribution (full-time)
50,George Washington University, Rebecca Vander Schaaf, $80, (202) 994-9283, gsehdadm@gwu.edu, Website, Website, Website, Yes,, 6, 79.6%, 157, 71%, 3.2, 1%, 1%, 1%,, 4, N/A, 65.6%, 986, 86%, 3.4, 25%, 25%, 25%,, 4, N/A, 64.5%,, 31, 82%, 3.1, N/A, N/A, N/A, N/A, N/A, N/A," Post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 115, 321, 25, 65, 44, 28, 147, 100%, 13.6%," 1,167", 306, N/A, N/A, N/A, Cathy Romanowski, (202) 994-6620, N/A," $1,765 per credit"," $1,140 per credit"," $1,140 per credit", N/A," $1,045 per credit"," $1,739 per credit"," $1,739 per credit", N/A, School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", Yes, N/A, Yes," Licensure only at baccalaureate level, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 73, N/A, 73, N/A, 72, N/A, 9," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 84, 75, 41, N/A, 55, N/A, N/A, N/A,,,,,
51,San Diego State University, Sabrina Cortell, $70, (619) 594-5200, admissions@sdsu.edu, Website, Website, Website, Yes,, 6.5, 76.9%, 845, 100%, 3.2, N/A, N/A, N/A, N/A, N/A, N/A, 34.9%," 1,656", 100%, 3.3, 20%, 20%, 20%,, 3.6, N/A, 10.8%,, 186, 100%, 3.5, 53%, 53%, 53%,, 4.4, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 403, 396, 11, 37, 79, 18, 214, 100%, 1.3%," 1,535"," 1,028", N/A, N/A, N/A, William Pierce, (619) 594-6323,,,,,,,,," $15,375", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), HACU (Hispanic Association of Colleges and Universities)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree", 580, 245, N/A, 825, 352, 177, N/A, N/A," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 98, 80, N/A, N/A, N/A, N/A, N/A,,,,,,
52,University at Buffalo--SUNY, Ryan Taughrin, $50, (716) 645-2110, gseinfo@buffalo.edu, Website, Website, N/A, Yes,, 6.5, 67.4%, 187, 100%, 3.33, 10%, 10%, 10%,, 4.1, N/A, 53.4%, 732, 100%, 3.32, 40%, 40%, 40%,, 3.9, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, No, Yes, 136, 331, N/A, 54, 55, 16, 95, 100%, 3.6%, 894, 506, N/A, N/A, N/A, John Gottardy, (716) 645-8232,,,,, N/A, N/A,,, N/A, Graduate school of education, N/A, N/A, Yes, N/A," Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 10, 192, N/A, 202, 9, 79, N/A, 23," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 55, 55, 59, 37, 34, 16, 15, N/A,,,,,
53,SMU, N/A, $40, N/A, N/A, Website, Website, N/A, Yes,, 6.5, 91.7%, 168, 100%, 3.46, N/A, N/A, N/A, N/A, N/A, N/A, 85.3%, 143, 100%, 3.56, N/A, N/A, N/A, N/A, N/A, N/A, 64.4%,, 146, 100%, 3.37, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, No, No, 112, 138, 67, 25, 22, 43, 153, 100%, 18.2%, 560, 123, N/A, N/A, N/A, N/A, N/A, N/A, $760 per credit, N/A, $760 per credit, N/A, $760 per credit," $1,704 per credit", N/A," $12,833", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 113, 181, 28, 322, 112, 138, 10, 18," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 277, 265, 126, N/A, 113, N/A, N/A, N/A,,,,,
54,Temple University, Dr. Joseph Paris, $60, (215) 204-0999, educate@temple.edu, Website, Website, Website, Yes,, 6.5, 95.6%, 45, 64%, 3.41, N/A, N/A, N/A, N/A, N/A, N/A, 67.9%, 458, 100%, 3.4, 3%, 3%, 3%,, 4.1, N/A, 47.9%,, 117, 100%, 3.53, 17%, 17%, 17%,, 4, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 77, 267, 6, 44, 44, 26, 140, 100%, 2.3%," 1,038", 500, N/A, N/A, N/A, Emilie Van Trieste, (215) 204-2244,,,,,, N/A,,," $16,076", School of education with undergraduate and graduate divisions, N/A, No, No, No," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 50, 142, 0, 192, N/A, 72, N/A, 44," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, some students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,,
55,University of Arizona, Rhea Gowin, $75, (520) 626-8851, gradadmissions@grad.arizona.edu, Website, Website, N/A, Yes,, N/A, 66.7%, 9, 50%, 3.8, N/A, N/A, N/A, N/A, N/A, N/A, 67.2%, 421, 95%, 3.56, 8%, 8%, 9%,, 4.1, N/A, 39.3%,, 89, 100%, 3.71, 23%, 23%, 23%,, 4.1, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 1, 200, 9, 45, 56, 49, 63, 100%, 1.8%, 839, 349, N/A, N/A, N/A, Bobbi Lehman, (520) 626-6338, N/A, N/A,,,,,,," $14,400", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), HACU (Hispanic Association of Colleges and Universities)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 58, N/A, 58, N/A, 59, N/A, N/A," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
56,University of Tennessee--Knoxville, Yvonne Kilpatrick, $60, (865) 974-3251, gse@utk.edu, Website, Website, Website, Yes,, 6.5, 100%, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 95.1%, 348, N/A, N/A, 15%, 15%, 15%,, 4.2, N/A, 96.4%,, 28, N/A, N/A, 13%, 13%, 13%,, 3.3, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, No, Yes, 35, 215, 14, 43, 76, 46, 44, 100%, 3.9%, 642, 361, N/A, N/A, N/A, Celena Tullos, (865) 974-1111, N/A,,,,,,,," $13,398", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 0, 186, 13, 199, 7, 142, 14, 76," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 159, 159, N/A, N/A, N/A, N/A, N/A,,,,,,
57,Syracuse University," Amie Redmond, Senior Assistant Dean", $75, (315) 443-2505, gradrcrt@gwmail.syr.edu, Website, Website, Website, Yes,, 6.5, 88.5%, 52, 89%, 3.3, N/A, N/A, 6%, N/A, 4.3, N/A, 51.4%, 366, 92%, 3.4, 13%, 13%, 13%,, 4, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.",, Yes, Yes, 43, 113, 0, 19, 47, 9, 28, 100%, 10.6%, 485, 242, N/A, N/A, N/A, Michele Sipley, (315) 443-1513," $1,734 per credit"," $1,734 per credit"," $1,734 per credit"," $1,734 per credit", N/A, N/A," $1,734 per credit"," $1,734 per credit"," $14,378", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Master's program(s)", N/A, 73, N/A, 73, N/A, 37, N/A, 29," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 144, N/A, 149, N/A, 150, N/A, N/A, N/A,,,,,
58,University of Central Florida, Dr. Pamela Carroll, $30, (407) 823-5369, CCIEgrad@ucf.edu, Website, Website, N/A, Yes,, 6.5, 95.1%, 225, 99%, 3.55, 34%, 34%, 31%,, 4, N/A, 56.4%, 775, 100%, 3.56, 17%, 17%, 16%,, 4, N/A, 33%,, 94, 100%, 3.87, 57%, 57%, 50%,, 4, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 207, 470, 15, 57, 62, 45, 0, 100%, 21%," 1,615", 600, N/A, N/A, N/A, Alicia Keaton, (407) 823-2827,,,,,,,,," $10,300", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership, HACU (Hispanic Association of Colleges and Universities)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", 99, 566, 78, 743, 99, 280, 13, 28," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
59,University of Kentucky, Dr. Brian Jackson, $65, (859) 257-4905, Brian.Jackson@uky.edu, Website, Website, N/A, Yes,, 6.5, 100%, 46, 100%, 3.3, 20%, 20%, 20%,, 4, N/A, 65.7%, 268, 100%, 3.4, 15%, 15%, 15%,, 3.4, N/A, 33.8%,, 65, 100%, 3.5, 32%, 32%, 32%,, 3.7, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, N/A, Yes, 40, 186, 21, 55, 78, 27, 33, 99%, 5.1%, 796, 472, N/A, N/A, N/A, Kathy Bialk, (859) 257-3172,,,,,,,,," $14,000", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", Yes, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 3, 101, 0, 104, 0, 58, 0, 59," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 370, 352, 250, N/A, 271, N/A, N/A, N/A,,,,,
60,University of Miami, Tinisha Hollinshead, $85, (305) 284-2167, soegradadmissions@miami.edu, Website, Website, Website, Yes,, 6.5, 50%, 2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 57.5%, 393, 42%, 3.4, 6%, 6%, 4%,, 4.3, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, No, Yes, 6, 209, 1, 8, 30, 21, 27, 100%, 13.3%, 516, 407, N/A, N/A, N/A, N/A, (305) 284-6000, N/A," $2,213 per credit"," $2,213 per credit"," $2,213 per credit", N/A, N/A," $2,213 per credit"," $2,213 per credit"," $22,140", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Master's program(s)", 0, 43, 0, 43, 0, 128, 0, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 34, 33, 33, 13, 15, 14, 11, N/A,,,,,
61,Boise State University, Scott Lowe, $65, (208) 426-5439, gradcoll@boisestate.edu, Website, Website, N/A, Yes,, 6, 87.5%, 8, 50%, 3.69, N/A, N/A, N/A, N/A, N/A, N/A, 55.2%, 134, 98%, 3.51, N/A, N/A, N/A, N/A, N/A, N/A, 46.2%,, 39, 86%, 3.16, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 97, 246, 23, 19, 44, 10, 42, 100%, 0%, 546, 122, N/A, N/A, N/A, Diana Fairchild, (800) 824-7017,,,,,,,,," $10,423", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), NAFEO (National Association for Equal Opportunity in Higher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", 47, 176, 21, 244, 91, 229, 23, 45," Yes, used in some teaching programs", No," Yes, all students are mentored", 201, 201, 201, 161, 200, 145, 123, N/A,,,,,
62,Lehigh University, Jamie Kardos, $65, (610) 758-5857, coe-admissions@lehigh.edu, Website, Website, Website, Yes,, 6.5, 88.8%, 80, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, 78.1%, 228, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, 18.9%,, 53, N/A, N/A, N/A, N/A, N/A,, N/A, N/A," Post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 42, 142, 1, 21, 24, 7, 46, 100%, 4.2%, 477, 171, N/A, N/A, N/A, Jennifer Mertz, (610) 758-3181, N/A, $590 per credit, $590 per credit, $590 per credit, $590 per credit, $590 per credit, $590 per credit, $590 per credit," $9,020", Graduate school of education, CADREI (Council of Academic Deans from Research Education Institutions), N/A, N/A, N/A," Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 0, 51, 0, 51, N/A, 18, N/A, 10, No," Yes, in some teaching programs"," Yes, all students are mentored", 31, 28, 18, 15, 16, 6, 6,,,,,,
63,University at Albany--SUNY, Jane Champagne, $75, (518) 442-3980, graduate@uamail.albany.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 79.9%, 551, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 53.8%, N/A, 78, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, education specialist, Ph.D.",, No, Yes, N/A, 298, 51, 30, 59, 3, 36, 100%, 1.7%," 1,040", 364, N/A, N/A, N/A, Stephen Kudzin, (518) 442-3202, N/A, N/A,,,,,,," $12,610", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), HACU (Hispanic Association of Colleges and Universities)", No, No, No," Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 476, 18, 494, N/A, 175, 14, 35," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
64,University of South Florida, Francisco Vera, $30, (813) 974-3350, GradAdmissions@usf.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 53.7%, 464, 68%, 3.31, 8%, 8%, N/A,, N/A, N/A, 9.8%,, 51, 40%, 3.41, 20%, 20%, N/A,, N/A, N/A," Bachelor's, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, N/A, 357, 15, 95, 100, 28, 91, 100%, 4%," 1,048", 431, N/A, N/A, N/A, Billie Jo Hamilton, (813) 974-4700, N/A, N/A,,,,,,," $13,000", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Master's program(s)", N/A, 281, N/A, 281, N/A, 163, N/A, 43," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 163, 163, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
65,University of Vermont, Kimberly Hess, $65, (802) 656-2699, graduate.admissions@uvm.edu, Website, Website, Website, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 73.1%, 145, 83%, 3.08, N/A, N/A, N/A, N/A, N/A, N/A, 58.9%, N/A, 192, 92%, 3.2, 2%, 2%, 2%,, 4, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, No, No, 0, 40, 57, 9, 40, 31, 69, 100%, 10%, 264, 108, N/A, N/A, N/A, Marie D. Johnson, (802) 656-1489, N/A, N/A,,,,,,," $14,778", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 18, 139, 157, 0, 14, 57, 31," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 122, 122, 136, 67, 124, 78, 61,,,,,,
66,George Mason University, Alex Bodenham, $75, (703) 993-2892, cehdgrad@gmu.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 89.4%, 814, 85%, 3.32, 2%, 2%, 2%,, 4.2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ph.D.", N/A, Yes, Yes, N/A, 929, N/A, 27, 70, 33, 5, 100%, 7.1%," 1,888", 342, N/A, N/A, N/A, Sandra Tarbox, (703) 993-2353, N/A, N/A,,, N/A, N/A,,, N/A, School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", Yes, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A," 1,185", N/A," 1,185", N/A, 748, N/A, 49," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 775, 746, 299, N/A, 357, N/A, N/A, N/A,,,,,
67,University of Arkansas--Fayetteville, Patricia Gamboa, $60, (479) 575-4401, gradinfo@uark.edu, Website, Website, Website, Yes,, 6.5, 63%, 135, 42%, 3.4, 1%, 1%, 1%,, 3.8, N/A, 51.9%, 451, 94%, 3.5, 23%, 25%, 25%,, 4, N/A, 44.4%,, 9, 33%, 3.36, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 138, 397, 5, 53, 86, 38, 72, 100%, 1.2%," 1,265", 400, N/A, N/A, N/A, Wendy Stouffer, (479) 575-3806,,,,,,,,," $11,942", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), Holmes Partnership", No, No, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 173, 188, 4, 365, 138, 123, 4, 43," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 201, 187, 207, 132, 190, 122, 120, N/A,,,,,
68,University of Hawaii--Manoa, Ryan Yamaguchi, $100, (808) 956-8975, gradadm@hawaii.edu, Website, Website, Website, Yes,, 6, 76.8%, 112, 100%, 3.68, N/A, N/A, N/A, N/A, N/A, N/A, 69.4%, 409, 99%, 3.42, 4%, 4%, 4%,, 3.8, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.", N/A, Yes, Yes, 54, 259, 0, 24, 102, 60, 12, 91%, 1%, 924, 255, N/A, N/A, N/A, Jodie Kuba, N/A,,,,, N/A, N/A,,," $13,642", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", 108, 95, 0, 203, 54, 38, 0, 41," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, 199, N/A, 253, N/A, N/A,,,,,,
69,University of North Carolina--Greensboro, Kelly Meris, $65, (336) 334-5596, gradinquiry@uncg.edu, Website, Website, Website, Yes,, 6.5, 70.1%, 67, 100%, 3.24, 7%, 7%, 7%,, 4, N/A, 67.1%, 550, 100%, 3.31, 17%, 17%, 17%,, 3.8, N/A, 91.8%,, 49, 100%, 3.23, 11%, 11%, 11%,, 4.1, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 2, 229, 27, 31, 50, 24, 47, 100%, 6%, 999, 335, N/A, N/A, N/A, John Lucas, (336) 334-5702,,,,,,,,," $9,686", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership", Yes, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", 45, 64, 0, 109, 0, 32, 0, 50," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 182, 134, 230, 150, 211, 142, 129, N/A,,,,,
70,Clemson University, Kathleen Costello, $80, (864) 656-2561, grdapp@clemson.edu, Website, Website, N/A, Yes,, 6.5, 99.2%, 243, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 90.1%, 583, 100%, 3.55, N/A, N/A, N/A, N/A, N/A, N/A, 53.1%,, 177, 100%, 3.66, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 196, 265, 38, 24, 50, 27, 27, 100%, 2%," 1,305", 289, N/A, N/A, N/A, Elizabeth Milam, (864) 656-2280, N/A,,,,,,,," $11,980", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", 0, 60, 0, 60, 0, 40, 0, 30," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 147, 147, 147, N/A, 121, N/A, N/A, N/A,,,,,
71,Howard University, Ms. Brandy Jackson, $99, (202) 806-5783, hugsadmission@howard.edu, Website, Website, Website, Yes,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 93%, 43, N/A, N/A, N/A, 4%, 4%,, 3.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ph.D., Ed.D.", N/A, No, No, N/A, 19, N/A, 13, 32, 2, 9, 91%, 6.3%, 222, 125, N/A, N/A, N/A, Robert T. Muhammad, (202) 806-2820, N/A, N/A," $33,860 per year"," $1,881 per credit", N/A, N/A," $33,860 per year"," $1,881 per credit"," $13,376", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education), NAFEO (National Association for Equal Opportunity in Higher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Master's program(s)", N/A, 10, N/A, 10, N/A, 10, N/A, 2," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 67, 61, 11, 11, 12, 12, 9,,,,,,
