,School,Director of admissions,Application deadline (master's),Application deadline (PhD),Application fee (U.S. residents),Application fee (international students),Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,Acceptance rate (master's),Acceptance rate (Ph.D.),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Average GRE analytical writing score(Master's),Percent of new entrants providing GPA scores(Doctoral),Average undergraduate GPA(Doctoral),Percent of new entrants providing verbal GRE scores(Doctoral),Percent of new entrants providing quantitative GRE scores(Doctoral),Average GRE analytical writing score(Doctoral),TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Total graduate engineering enrollment,Enrollment (full-time master's),Enrollment (part-time master's),Enrollment (full-time Ph.D.),Enrollment (part-time Ph.D.),Total graduates,Total master's graduates,International master's graduates,Minority master's graduates,Female master's graduates,Total Ph.D. graduates,International Ph.D. graduates,Minority Ph.D. graduates,Female Ph.D. graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or nontenure track),Part-time faculty,Full-time faculty elected to the National Academy of Engineering,Total graduate engineering enrollment(Student Body),Enrollment (master's),Minority students (master's),International students (master's),Enrollment (Ph.D.),Minority students (Ph.D.),International students (Ph.D.),Financial aid director,Financial aid phone,"Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Score,Peer assessment score (out of 5),Recruiter assessment score (out of 5),Overall acceptance rate,Average GRE quantitative score (master's and Ph.D. students),Ph.D. student/faculty ratio,Ph.D.s granted,Engineering school research expenditures (2021 fiscal year),Research expenditures per faculty member (2021 fiscal year),Faculty membership in National Academy of Engineering,Total graduate engineering enrollment(Ranking),Mean TOEFL score of entering students,Average GRE score(Master's),Average GRE score(Doctoral),Student diversity (master's),Student diversity (Ph.D.),Countries most represented by international students(Student Body),Applicants (master's),Applicants (Ph.D.),Gender distribution of enrolled (master's),Gender distribution of enrolled (Ph.D.)
33,Northeastern University, Akram Alshawabkeh, N/A, N/A, $75, $75, (617) 373-3994, grad-eng@coe.neu.edu, Website, Website, N/A, 56.1%, 15.7%, 38%, 3.34, 30%, 30%, 3.2, 63%, 3.47, 23%, 23%, 3.5, Yes,, 6," 7,554"," 6,366", 268, 893, 27," 2,830"," 2,715", 80.8%, 6.9%, 33.1%, 115, 67%, 4.3%, 19.1%, 197, 42, 78, 1," 7,554"," 6,366", 7.2%, 84.5%, 893, 9.4%, 68%, Rob Reddy, (617) 373-3190," $1,689 per credit"," $1,689 per credit"," $1,689 per credit"," $1,689 per credit"," $17,810", 51, 3.2, 3.6, 51.9%, 162, 4.5:1, 115," $99,019,988"," $532,366", 0.5%," 7,554",,,,,,,,,,
34,Boston University, Kirstie Miller, 01/15, 12/15, $95, $95, (617) 353-9760, enggrad@bu.edu, Website, Website, N/A, 50.6%, 19.3%, 55%, 3.42, 48%, 48%, 3.7, 59%, 3.68, 44%, 44%, 4, Yes,, 6," 1,434", 560, 177, 696, 1, 508, 430, 55.3%, 4%, 32.8%, 78, 47.4%, 3.8%, 37.2%, 151, 25, 10, 8," 1,434", 560, 16.3%, 59.5%, 696, 14.1%, 56.2%, Anthony Morejon, (617) 353-9760," $58,560 per year"," $1,830 per credit"," $58,560 per year"," $1,830 per credit"," $14,590", 50, 3.1, 3.5, 40%, 165, 4.6:1, 78," $114,222,982"," $793,215", 5.3%," 1,434",,,,,,,,,,
35,University of California--Davis, Brian Gallagher, N/A, N/A, $120, $140, (530) 752-0650, gradadmit@ucdavis.edu, Website, Website, Website, 39.4%, 28.3%, 84%, 3.46, 34%, 34%, 3.7, 92%, 3.57, 27%, 27%, 3.9, Yes,, 7," 1,372", 532, 56, 745, 39, 358, 269, 51.3%, 25.7%, 37.2%, 89, 49.4%, 20.2%, 28.1%, 169, 13, 34, 5," 1,372", 532, 25.8%, 50.4%, 745, 20.9%, 53.4%, Steven Albrecht, (530) 752-8864,,,,," $15,654", 50, 3.5, 3.8, 36.6%, 164, 4.4:1, 89," $90,934,465"," $516,673", 3%," 1,372",,,,,,,,,,
36,University of Virginia, Carla Davis, 12/15, 12/15, $85, $85, (434) 924-3635, gradengineeringinfo@virginia.edu, Website, Website, N/A, 36.1%, 25.6%, 96%, 3.42, 45%, 45%, 3.7, 99%, 3.65, 55%, 55%, 3.8, Yes, N/A, N/A," 1,114", 186, 168, 760, 0, 318, 214, 50%, 16.4%, 32.7%, 104, 42.3%, 13.5%, 26%, 154, 68, N/A, 4," 1,114", 186, 17.2%, 49.5%, 760, 11.3%, 53.9%, Joan Wicks, (434) 924-4380,,,, N/A," $17,766", 49, 3.4, 3.7, 31.4%, 164, 4.9:1, 104," $90,034,530"," $559,221", 2.6%," 1,114",,,,,,,,,,
37,University of California--Irvine (Samueli), Jean Macneil, 01/15, 01/15, $120, $140, (949) 824-8090, gradengr@uci.edu, Website, Website, Website, 37%, 25.9%, 100%, 3.39, 53%, 53%, N/A, 100%, 3.52, 48%, 48%, N/A, Yes,, 7," 1,797", 780, 65, 945, 7, 622, 495, 54.5%, 21.6%, 30.3%, 127, 55.9%, 14.2%, 32.3%, 242, 22, 48, 7," 1,797", 780, 25.6%, 64.7%, 945, 19.4%, 63%, Rebecca Sanchez, (949) 824-4889,,,,," $13,980", 48, 3.4, 3.5, 34.5%, 165, 3.9:1, 127," $113,696,520"," $487,968", 2.9%," 1,797",,,,,,,,,,
38,Yale University, Leah Phinney, 12/15, 12/15, $105, $105, (203) 432-2771, graduate.admissions@yale.edu, Website, Website, Website, 18.1%, 23.4%, 100%, 3.87, 98%, 98%, 4, 89%, 3.69, 89%, 89%, 4, Yes,, 7, 477, 60, 4, 413, 0, 163, 112, 58.9%, 3.6%, 33.9%, 51, 51%, 3.9%, 23.5%, 94, 27, 0, 5, 477, 60, N/A, N/A, 413, N/A, N/A, Sara Estrom, (203) 432-2739," $45,700 per year"," $5,712 per credit"," $45,700 per year", N/A, N/A, 48, 3.4, 3.8, 20.8%, 167, 4.4:1, 51," $49,363,730"," $503,712", 5.3%, 477,,,, N/A, N/A, N/A,,,,
39,Arizona State University (Fulton), Matthew Lopez, N/A, N/A, $70, $115, (480) 965-6113, gograd@asu.edu, Website, Website, Website, 59.6%, 58.2%, N/A, N/A, 53%, 53%, 3.4, N/A, N/A, 70%, 70%, 3.5, Yes,, 6.5," 5,485"," 2,415"," 1,919", 873, 278," 1,781"," 1,604", 67.2%, 13.7%, 23.2%, 177, 71.2%, 6.8%, 23.7%, 317, 97, 15, 5," 5,485"," 2,415", 9.6%, 78.7%, 873, 11.1%, 70.8%, Melissa Pizzo, (855) 278-5080,,,,," $12,162", 47, 3.4, 3.4, 59.5%, 163, 2.8:1, 177," $125,336,783"," $404,312", 1.6%," 5,485",,,,,,,,,,
40,University of Florida, Toshikazu Nishida, 01/15, 12/05, $30, $30, (352) 392-0943, admissions@eng.ufl.edu, Website, Website, Website, 55.5%, 32.9%, 45%, 3.5, 44%, 44%, 3.5, 65%, 3.7, 35%, 35%, 3.9, Yes,, 6," 2,801"," 1,131", 664, 931, 75," 1,159", 979, 68%, 11.2%, 28.5%, 180, 57.8%, 11.7%, 25.6%, 325, 117, 7, 2," 2,801"," 1,131", 12.5%, 70.6%, 931, 20.9%, 49.1%, Toshikazu Nishida, (352) 392-0943,,,,," $13,560", 46, 3.5, 3.8, 51.5%, 163, 2.9:1, 180," $89,681,000"," $283,801", 0.6%," 2,801",,,,,,,,,,
41,University of Minnesota--Twin Cities, Dean Tsantir, 12/15, 12/15, $75, $95, (612) 625-3014, gsquest@umn.edu, Website, Website, N/A, 41.7%, 33.3%, 57%, 3.48, 13%, 13%, 3.7, 87%, 3.65, 25%, 25%, 3.8, Yes,, 6.5," 1,763", 601, 154, 889, 119, 605, 437, 44.4%, 11.7%, 22.7%, 168, 61.9%, 11.3%, 23.8%, 239, 11, 27, 5," 1,763", 601, 17.3%, 37.3%, 889, 10.5%, 60.7%, Tina Falkner, (612) 624-1111,,,,," $15,822", 46, 3.6, 3.7, 38.5%, 158, 3.7:1, 168," $96,919,159"," $407,223", 2.1%," 1,763", N/A,,,,, N/A,,,,
42,Rensselaer Polytechnic Institute, Jarron Decker, 01/01, 01/01, $75, $75, (518) 276-6216, gradadmissions@rpi.edu, Website, Website, Website, 36.4%, 38.4%, 100%, 3.42, 54%, 54%, 4.1, 100%, 3.64, 56%, 56%, 3.8, Yes,, 6.5, 774, 174, 92, 505, 3, 284, 218, 22.5%, 9.2%, 24.3%, 66, 68.2%, 1.5%, 33.3%, 130, 47, 12, 4, 774, 174, 25.3%, 8.6%, 505, 10.7%, 61.2%, Martin Charles Daniels, (518) 276-6813," $57,100 per year"," $2,380 per credit"," $57,100 per year"," $2,380 per credit"," $15,090", 45, 3.2, 4, 37.6%, 165, 3.9:1, 66," $56,701,000"," $402,135", 3.1%, 774,,,,,,,,,,
43,Vanderbilt University, Maya Suraj, 01/01, 01/01, $95, $95, (615) 322-0236, apply@vanderbilt.edu, Website, Website, N/A, 46.1%, 21.4%, 100%, 3.37, N/A, N/A, N/A, 100%, 3.68, N/A, N/A, N/A, Yes,, 7, 575, 67, 10, 498, 0, 117, 62, 48.4%, 16.1%, 25.8%, 55, 47.3%, 7.3%, 20%, 108, 79, 35, 1, 575, 67, 9%, 52.2%, 498, 14.3%, 40%, Brent Tener, (615) 322-3591," $38,700 per year"," $2,150 per credit"," $38,700 per year", N/A," $18,594", 45, 3.3, 3.6, 30.3%, N/A, 4.6:1, 55," $69,552,512"," $675,267", 0.9%, 575,, N/A, N/A,,,,,,,
44,Case Western Reserve University, Charles E. Rozek, N/A, N/A, $50, $50, (216) 368-4390, gradadmit@case.edu, Website, Website, Website, 61.2%, 31.3%, 90%, 3.26, 58%, 58%, 3.3, 90%, 3.6, 54%, 54%, 3.6, Yes,, 7, 750, 315, 30, 390, 15, 251, 184, 54.3%, 14.7%, 26.1%, 67, 61.2%, 6%, 28.4%, 100, 18, 2, 2, 750, 315, 17.8%, 48.6%, 390, 16.2%, 56.9%, Venus Puliafico, (216) 368-4530," $49,358 per year"," $2,057 per credit"," $49,358 per year"," $2,057 per credit"," $19,538", 43, 3.2, 3.8, 48.2%, 166, 3.9:1, 67," $45,072,000"," $441,882", 2%, 750,,,,,,,,,,
45,University of Delaware, Michael Alexo, 07/01, 07/01, $75, $75, (302) 831-2129, gradadmissions@udel.edu, Website, Website, Website, 58.8%, 43.3%, 71%, 3.2, 25%, 25%, 3.3, 99%, 3.6, 40%, 40%, 3.7, Yes,, 7," 1,000", 181, 117, 689, 13, 222, 151, 44.4%, 15.2%, 23.2%, 71, 49.3%, 9.9%, 28.2%, 149, 27, 1, 8," 1,000", 181, 21%, 37%, 689, 11.3%, 55.2%," Mary Booker, Executive Director", (302) 831-2126,,,,," $12,960", 43, 3.0, 3.3, 49.5%, 161, 4.6:1, 71," $92,939,742"," $645,415", 5.4%," 1,000",,,,,,,,,,
46,University of Rochester (Hajim), Kristina Lantzky-Eaton, 01/15, 01/15, $60, $60, (585) 275-2059, ASEGEPA@rochester.edu, Website, Website, Website, 55.6%, 19.1%, 96%, 3.4, 49%, 49%, 3.7, 97%, 3.53, 58%, 58%, 3.8, Yes,, 6.5, 597, 164, 23, 400, 10, 236, 191, 50.3%, 14.1%, 26.7%, 45, 55.6%, 11.1%, 26.7%, 94, 30, 33, 2, 597, 164, 7.3%, 64.6%, 400, 13.8%, 59.3%, Samantha Veeder, (585) 275-3226," $1,818 per credit"," $1,818 per credit"," $1,818 per credit"," $1,818 per credit"," $9,720", 43, 2.5, 3.4, 40.3%, 164, 4.3:1, 45," $109,449,860"," $1,152,104", 2.1%, 597,,,,,,,,,,
47,Iowa State University, Katharine Suski, 02/01, 02/01, $60, $100, (515) 294-0815, grad_admissions@iastate.edu, Website, Website, N/A, 29.1%, 19.7%, 79%, 3.49, 22%, 22%, 3.8, 46%, 3.7, 43%, 43%, 3.5, Yes,, 6.5," 1,280", 475, N/A, 805, N/A, 414, 298, 44.6%, 7%, 26.5%, 116, 67.2%, 1.7%, 28.4%, 249, 74, 34, 0," 1,280", 475, 13.7%, 31.2%, 805, 6%, 73%, Roberta Johnson, (515) 294-0109,, N/A,, N/A," $9,362", 42, 3.2, 3.5, 23.7%, 161, 3.2:1, 116," $92,770,024"," $369,602", 0%," 1,280",,,,,,,,,,
48,University of Dayton, Donnell Wiggins, 08/01, 08/01, $0, $0, (800) 837-7433, gradadmission@udayton.edu, Website, Website, Website, 29.2%, 24.5%, 87%, 3.3, 9%, 9%, 4, 13%, 3.5, 3%, 3%, 4, Yes,, 6.5," 1,195", 900, 158, 137, N/A, 484, 470, 73.8%, 3.6%, 29.1%, 14, 50%, 21.4%, 28.6%, 87, 11, 66, 0," 1,195", 900, 1.8%, 84.8%, 137, 5.1%, 67.2%, Flyer Student Services, (937) 229-4411," $1,005 per credit"," $1,005 per credit"," $1,095 per credit", N/A," $16,230", 42, 2.3, 2.9, 28.7%, 152, 1.6:1, 14," $187,474,664"," $2,231,841", 0%," 1,195",,,,,,,,,,
49,University of Notre Dame, Nyree V. McDonald, 01/01, 01/01, $75, $75, (574) 631-7706, gradapp@nd.edu, Website, Website, N/A, 23.4%, 32.6%, 78%, 3.44, 17%, 17%, N/A, 77%, 3.56, 33%, 33%, N/A, Yes,, 7, 641, 36, 5, 595, 5, 131, 61, 50.8%, 8.2%, 27.9%, 70, 52.9%, 10%, 22.9%, 143, 57, 8, 1, 641, 36, 11.1%, 33.3%, 595, 12.1%, 56.8%, Nyree V. McDonald, (574) 631-7706," $58,190 per year", N/A," $58,190 per year"," $3,233 per credit", N/A, 42, 3.1, 3.7, 31%, 165, 4.2:1, 70," $63,878,061"," $469,692", 0.7%, 641, N/A,,,,,,,,,
50,University of Pittsburgh (Swanson), Robert S. Parker, 07/01, 07/01, $58, $58, (412) 624-9800, ssoeadm@pitt.edu, Website, Website, Website, 50.2%, 32%, 100%, 3.41, 23%, 28%, 3.1, 100%, 3.71, 29%, 24%, 4.2, Yes,, 6.5, 933, 205, 128, 574, 26, 284, 209, 51.7%, 9.6%, 23%, 75, 53.3%, 16%, 20%, 158, 67, 161, 0, 933, 205, 14.6%, 48.8%, 574, 11.8%, 60.5%, Randall McCready, (412) 624-7488,,,,," $19,240", 42, 3.0, 3.3, 42.8%, 165, 3.6:1, 75," $101,006,353"," $664,515", 0%, 933,,,,,,,,,,
51,Washington University in St. Louis, Tammy Kampwerth, 03/01, 12/15, $75, $75, (314) 935-5830, engineeringgradadmissions@wustl.edu, Website, Website, N/A, 70.6%, 28.4%, 100%, 3.38, 31%, 31%, 3.3, 100%, 3.61, 45%, 45%, 3.9, Yes,, 6.5," 1,540", 708, 281, 546, 5, 540, 478, 55.9%, 5.4%, 32.2%, 62, 66.1%, 1.6%, 29%, 96, 51, 75, 1," 1,540", 708, 10.7%, 66.8%, 546, 14.5%, 63.9%, Michael J. Runiewicz, (314) 935-5900," $57,750 per year"," $2,045 per credit"," $57,750 per year"," $2,045 per credit"," $16,558", 42, 3.2, 3.5, 61.1%, 167, 5.7:1, 62," $36,037,000"," $375,385", 1%," 1,540",,,,,,,,,,
52,Brown University, Dr. Andrew Campbell, 05/15, 12/31, $75, $75, (401) 863-2600, graduate_admissions@brown.edu, Website, Website, N/A, 37.3%, 10.4%, 54%, 3.6, 46%, 46%, 3.7, 34%, 3.59, 49%, 49%, 4.1, Yes,, 7, 553, 286, 20, 245, 2, 194, 161, 60.2%, 17.4%, 34.2%, 33, 81.8%, 6.1%, 18.2%, 91, 22, 35, 3, 553, 286, 12.2%, 72.7%, 245, 14.7%, 55.9%, James Tilton, (401) 863-2721," $8,879 per credit"," $8,879 per credit"," $60,944 per year"," $7,618 per credit"," $16,346", 40, 3.3, 3.6, 28.5%, 167, 2.7:1, 33," $28,107,012"," $319,398", 3.3%, 553,,,,,,,,,,
53,Dartmouth College (Thayer), Ian Baker, 01/01, 01/01, $50, $50, (603) 646-2606, engineering.admissions@dartmouth.edu, Website, Website, Website, 18%, 22.6%, 86%, 3.56, 35%, 35%, 4.4, 89%, 3.57, 46%, 46%, 4.5, Yes,, 7, 332, 140, N/A, 192, N/A, 100, 73, 68.5%, 15.1%, 38.4%, 27, 59.3%, 11.1%, 22.2%, 65, 20, 19, 2, 332, 140, 17.9%, 53.6%, 192, 14.1%, 45.3%, Candace Potter, (603) 646-3844," $58,935 per year", N/A," $58,935 per year", N/A," $19,215", 40, 3.0, 3.7, 19.6%, 165, 3:1, 27," $32,888,745"," $539,160", 3.1%, 332,,,,,,,,,,
54,Colorado School of Mines, Dale Gaubatz, 07/01, 07/01, $75, $95, (303) 273-3225, admissions@mines.edu, Website, Website, N/A, 87.8%, 47%, 82%, 3.42, 23%, 23%, 3.9, 79%, 3.53, 63%, 63%, 3.9, Yes,, 6.5," 1,452", 592, 216, 562, 82, 469, 388, 16.5%, 15.2%, 28.4%, 81, 35.8%, 7.4%, 28.4%, 186, 79, 79, 3," 1,452", 592, 17.2%, 14.9%, 562, 10.7%, 34%, Jill Robertson, (303) 273-3207,, N/A,, N/A," $16,700", 39, 3.1, 3.8, 73.8%, 158, 3:1, 81," $76,013,996"," $404,330", 1.6%," 1,452",,,,,,,,,,
55,Rutgers University--New Brunswick, Linda Costa, 12/01, 12/01, $70, $70, (732) 932-7711, linda.costa@rutgers.edu, Website, Website, Website, 32%, 22.6%, 33%, 3.39, 50%, 50%, 3.7, 22%, 3.58, 74%, 74%, 3.5, Yes,, 7," 1,558", 556, 405, 396, 201, 484, 379, 59.9%, 20.6%, 29.3%, 105, 78.1%, 6.7%, 21.9%, 178, 51, 89, 7," 1,558", 556, 24.5%, 59.2%, 396, 9.1%, 79%, Sherrell Watson-Hall, (848) 932-7385,,,,," $14,806", 39, 3.0, 3.5, 29.9%, 163, 2.2:1, 105," $54,183,865"," $289,753", 3.9%," 1,558", N/A,,,,,,,,,
56,University of Massachusetts--Amherst, Lindsay De Santis, 01/01, 01/01, $85, $85, (413) 545-0722, gradadm@grad.umass.edu, Website, Website, Website, 44.7%, 32.4%, 46%, 3.54, 57%, 57%, 3.9, 27%, 3.52, 37%, 37%, 3.7, Yes,, 6.5," 1,419", 584, 139, 696, 0, 440, 382, 65.7%, 7.3%, 26.7%, 58, 53.4%, 6.9%, 39.7%, 191, 49, 30, 4," 1,419", 584, 8.2%, 75.2%, 696, 9.8%, 68.4%, Lauren Lamica, (413) 545-0801,,,, N/A," $14,217", 38, 2.9, 3.5, 40%, 165, 3.6:1, 58," $59,933,049"," $318,793", 2.1%," 1,419",,,,,,,,,,
57,University of Utah, John Marfield, 01/01, 01/01, $0, $65, (801) 581-8761, admissions@sa.utah.edu, Website, Website, Website, 47.2%, 34.6%, 100%, 3.5, 38%, 38%, 3.8, 100%, 3.5, 61%, 61%, 3.7, Yes,, 6.5," 1,383", 615, 15, 711, 42, 451, 350, 28.6%, 17.4%, 21.1%, 101, 47.5%, 10.9%, 24.8%, 212, 61, 58, 4," 1,383", 615, 13.5%, 29.3%, 711, 8.4%, 51.9%, Karen M. Henriquez, (801) 581-6211,,,,," $13,914", 38, 3.0, 3.1, 40.7%, 161, 3.4:1, 101," $84,738,000"," $394,130", 1.9%," 1,383",,,,,,,,,,
58,Michigan State University, John Ambrose, N/A, N/A, $65, $75, (517) 355-8332, egrgrad@egr.msu.edu, Website, Website, N/A, 20.1%, 23.4%, 88%, 3.5, 43%, 72%, 4, 94%, 3.6, 59%, 79%, 4, Yes,, 6.5, 957, 251, 0, 706, 0, 172, 79, 35.4%, 11.4%, 24.1%, 93, 72%, 8.6%, 25.8%, 232, 7, 5, 1, 957, 251, 21.9%, 26.3%, 706, 9.8%, 64.2%, Keith Williams, (517) 353-5940,, N/A,, N/A," $12,278", 37, 3.1, 3.4, 21.8%, 163, 3:1, 93," $49,994,331"," $212,742", 0.4%, 957,,,,,,,,,,
59,Stony Brook University--SUNY, Melissa Jordan, N/A, N/A, $100, $100, (631) 632-4723, gradadmissions@stonybrook.edu, Website, Website, N/A, 38.6%, 39.7%, 20%, 3.2, 48%, 48%, 3.7, 28%, 3.1, 38%, 38%, 4, Yes,, 6.5," 1,440", 647, 100, 653, 40, 713, 606, 70.6%, 3.5%, 24.6%, 107, 76.6%, 1.9%, 19.6%, 170, 35, 29, 1," 1,440", 647, 15.1%, 66.9%, 653, 8%, 75.2%, Nicholas Prewett, (631) 632-6840,,,,," $15,504", 37, 2.9, 3.2, 38.9%, 166, 3.8:1, 107," $47,266,314"," $279,682", 0.6%," 1,440",,,,,,,,,,
60,Wichita State University, Aaron Coffey, 08/01, 08/01, $60, $75, (316) 978-3095, aaron.coffey@wichita.edu, Website, Website, N/A, 61%, 40.7%, 9%, 3.4, 32%, 32%, 2.7, 21%, 3.38, 42%, 42%, 3.3, Yes,, 6.5, 783, 487, 173, 40, 83, 174, 161, 75.8%, 7.5%, 26.7%, 13, 92.3%, 0%, 0%, 64, 10, 0, 0, 783, 487, 2.7%, 92.4%, 40, 2.5%, 82.5%, Sheelu Surender, (316) 978-3430,,,,," $10,759", 37, 2.0, 2.6, 60.2%, 161, 0.6:1, 13," $151,836,096"," $2,300,547", 0%, 783,,,,,,,,,,
61,University at Buffalo--SUNY, Christopher Connor, N/A, N/A, $85, $85, (716) 645-2771, gradeng@buffalo.edu, Website, Website, N/A, 54.6%, 13.3%, 74%, 3.34, 67%, 67%, 3.4, 74%, 3.66, 63%, 63%, 3.5, Yes,, 6.5," 2,621"," 1,636", 445, 503, 37, 954, 863, 71.1%, 2.5%, 26%, 91, 78%, 1.1%, 25.3%, 194, 62, 2, 1," 2,621"," 1,636", 7.3%, 81.7%, 503, 6.6%, 74.8%, John Gottardy, (716) 645-2450,,,,," $14,134", 36, 2.7, 3.3, 49.4%, 162, 2.6:1, 91," $79,954,248"," $418,609", 0.5%," 2,621",,,,,,,,,,
62,University of Tennessee--Knoxville (Tickle), Yvonne Kilpatrick, 08/01, 08/01, $60, $60, (865) 974-3251, gradschool@utk.edu, Website, Website, Website, 64.2%, 45.9%, 100%, 3.5, 25%, 25%, 4, 100%, 3.5, 40%, 40%, 4, Yes,, 6.5," 1,149", 256, 165, 626, 102, 304, 193, 10.9%, 13%, 20.2%, 111, 49.5%, 9%, 22.5%, 188, 18, 23, 3," 1,149", 256, 17.2%, 6.3%, 626, 8.8%, 49.4%, Jeffrey Gerkin, (865) 974-1111,,,,," $13,398", 36, 2.8, 3.3, 54.3%, 160, 3.3:1, 111," $76,308,000"," $416,984", 1.6%," 1,149",,,,,,,,,,
63,Auburn University (Ginn), Dr. George Flowers, N/A, N/A, $60, $70, (334) 844-4700, gradadm@auburn.edu, Website, Website, N/A, 64.2%, 43.1%, 85%, 3.41, 32%, 32%, 3.6, 28%, 3.53, 49%, 49%, 3, Yes,, 6.5," 1,159", 161, 375, 473, 150, 269, 209, 37.8%, 11%, 24.9%, 60, 71.7%, 3.3%, 25%, 177, 25, 20, 0," 1,159", 161, 8.7%, 42.9%, 473, 3.2%, 84.1%, Michael C. Reynolds, (334) 844-4634,,,,," $14,596", 35, 2.9, 3.4, 53.5%, 160, 2.7:1, 60," $78,171,465"," $459,832", 0%," 1,159",,,,,,,,,,
64,Tufts University, Roxana Woudstra, 01/15, 12/15, $85, $85, (617) 627-3395, gradadmissions@tufts.edu, Website, Website, Website, 59.4%, 22.8%, 95%, 3.37, 42%, 42%, 3.7, 97%, 3.59, 93%, 93%, 4, Yes,, 6.5, 903, 330, 296, 245, 32, 323, 290, 37.2%, 20.3%, 34.1%, 33, 48.5%, 15.2%, 36.4%, 91, 24, 78, 2, 903, 330, 15.8%, 54.2%, 245, 14.7%, 49.8%, Patricia Reilly, (617) 627-2000," $50,910 per year"," $1,697 per credit"," $9,194 per year"," $1,687 per credit"," $16,210", 35, 2.8, 3.6, 50.9%, 163, 2.7:1, 33," $36,054,909"," $391,901", 2.2%, 903,,,,,,,,,,
65,University of Arizona, Andrew Carnie, 01/01, 01/01, $85, $95, (520) 621-3471, gradadmissions@grad.arizona.edu, Website, Website, Website, 50.4%, 40.5%, 100%, 3.49, 13%, 13%, 3.8, 100%, 3.69, 44%, 44%, 3.6, Yes,, 7," 1,480", 276, 628, 453, 123, 413, 326, 18.4%, 27.3%, 25.5%, 87, 56.3%, 5.7%, 20.7%, 160, 45, 68, 2," 1,480", 276, 33%, 25.4%, 453, 15%, 53%, Art Young, (520) 621-4747,,,,," $12,800", 35, 3.2, 3.3, 46.9%, 161, 2.8:1, 87," $50,366,000"," $289,460", 1.3%," 1,480",,,,,,,,,,
66,University of North Carolina--Chapel Hill, Renata Buchanan, 05/10, 05/10, $95, $95, (919) 962-6316, rcbuchan@email.unc.edu, Website, Website, N/A, 10%, 15.4%, 88%, 3.59, N/A, N/A, N/A, 6%, 3.48, N/A, N/A, N/A, Yes,, 7, 308, 106, 3, 199, 0, 78, 48, 33.3%, 6.3%, 31.3%, 30, 56.7%, 3.3%, 30%, 61, 16, 3, 0, 308, 106, 27.4%, 12.3%, 199, 9.5%, 56.8%, Antonio Squire, (919) 962-6617,, N/A,, N/A," $18,760", 35, 2.8, 3.6, 11.9%, N/A, 3.3:1, 30," $14,338,482"," $573,539", 0%, 308,, N/A, N/A,,,,,,,
67,University of Texas--Dallas (Jonsson), Ingrid London, 05/01, 05/01, $50, $100, (972) 883-2270, admission@utdallas.edu, Website, Website, N/A, 28.3%, 37.1%, 95%, 3.31, 66%, 66%, N/A, 95%, 3.51, 73%, 73%, N/A, Yes,, 6.5," 2,062"," 1,101", 362, 540, 59, 840, 744, 72.4%, 15.2%, 30.4%, 96, 71.9%, 12.5%, 36.5%, 156, 73, 28, 3," 2,062"," 1,101", 12.7%, 78.4%, 540, 7.2%, 80.9%, Sarah Dorsey, (972) 883-2941,, N/A,, N/A," $12,142", 35, 2.7, 3.2, 28.9%, 162, 3.5:1, 96," $43,088,616"," $283,478", 1.9%," 2,062",,,,,,,,,,
68,Rochester Institute of Technology (Gleason), Diane Ellison, N/A, N/A, $65, $65, (585) 475-2229, gradinfo@rit.edu, Website, Website, N/A, 60.9%, 30.8%, 22%, 3.3, 55%, 55%, 3.6, 23%, 3.44, 79%, 79%, 3.8, Yes,, 6.5, 915, 532, 141, 229, 13, 449, 417, 57.3%, 7.4%, 21.1%, 32, 65.6%, 9.4%, 31.3%, 100, 53, 5, N/A, 915, 532, 8.5%, 70.5%, 229, 6.1%, 73.8%, Meghan Drumm, (585) 475-2186," $52,092 per year"," $2,171 per year"," $52,092 per year"," $2,171 per year"," $14,432", 34, 2.6, 3.7, 57.6%, 161, 2.3:1, 32," $50,303,000"," $523,990", 0%, 915, N/A,,,,,,,,,
69,University of Connecticut, Anne  K. Lanzit, N/A, N/A, $75, $75, (860) 486-0974, gradschool@uconn.edu, Website, Website, N/A, 46.2%, 43.8%, 97%, 3.5, 17%, 17%, 3.9, 98%, 3.45, 32%, 32%, 3.3, Yes,, 6.5, 900, 98, 243, 512, 47, 205, 133, 12.8%, 18.8%, 21.8%, 72, 73.6%, 6.9%, 36.1%, 159, 34, 23, 2, 900, 98, 24.5%, 18.4%, 512, 11.1%, 66.6%, Suzanne Peters, (860) 486-2819,,,,," $16,626", 34, 2.7, 3.3, 45.1%, 162, 3.2:1, 72," $64,243,000"," $417,162", 1.3%, 900, N/A,,,,,,,,,
