School,Total graduate engineering enrollment,Enrollment (full-time master's),Enrollment (part-time master's),Enrollment (full-time Ph.D.),Enrollment (part-time Ph.D.),Score,Peer assessment score (out of 5),Recruiter assessment score (out of 5),Overall acceptance rate,Average GRE quantitative score (master's and Ph.D. students),Ph.D. student/faculty ratio,Ph.D.s granted,Engineering school research expenditures (2021 fiscal year),Research expenditures per faculty member (2021 fiscal year),Faculty membership in National Academy of Engineering,Total graduate engineering enrollment(Ranking),Acceptance rate (master's),Acceptance rate (Ph.D.),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Average GRE analytical writing score(Master's),TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Total graduates,Total master's graduates,International master's graduates,Minority master's graduates,Female master's graduates,Total Ph.D. graduates,International Ph.D. graduates,Minority Ph.D. graduates,Female Ph.D. graduates
University of Illinois--Chicago," 1,198", 445, 176, 490, 87, 31, 2.6, 3, 51.7%, 161, 3.6:1, 76," $48,741,422"," $358,393", 0.7%," 1,198", 56.2%, 29.4%, 100%, 3.17, 47%, 47%, 3.4, Yes,, 6.5, 475, 399, 77.4%, 12.8%, 25.6%, 76, 56.6%, 19.7%, 28.9%
Washington State University, 679, 167, 146, 334, 32, 31, 2.7, 3.2, 28.9%, 160, 2.6:1, 73," $33,815,662"," $239,827", 1.6%, 679, 26.9%, 31.9%, 41%, 3.45, 33%, 33%, 4, Yes,, 7, 225, 152, 55.3%, 14.5%, 22.4%, 73, 75.3%, 6.8%, 28.8%
Colorado State University (Scott)," 1,169", 388, 215, 353, 213, 30, 2.6, 3.2, 28.8%, 155, 2.5:1, 53," $85,642,387"," $586,592", 1.4%," 1,169", 28.6%, 29.2%, 100%, 3.51, 7%, 7%, 4.2, Yes,, 6.5, 271, 218, 40.4%, 9.2%, 27.1%, 53, 37.7%, 15.1%, 35.8%
George Washington University," 1,756", 459, 858, 375, 64, 30, 2.6, 3.3, 67.9%, 163, 4.7:1, 93," $20,776,003"," $250,313", 0%," 1,756", 82.8%, 27.8%, 46%, 3.26, 18%, 18%, 3.3, Yes,, 6, 719, 626, 40.7%, 17.3%, 28%, 93, 30.1%, 26.9%, 19.4%
University of Texas--Arlington," 2,666"," 1,576", 571, 361, 158, 30, 2.4, 3.1, 75.1%, 159, 2.2:1, 114," $57,808,715"," $334,154", 2.4%," 2,666", 77.2%, 47%, 99%, 3.51, 60%, 60%, 3, Yes,, 6.5," 1,080", 966, 80.8%, 11.3%, 24.7%, 114, 84.2%, 4.4%, 28.1%
Drexel University, 950, 205, 388, 326, 31, 29, 2.9, 3.4, 66.3%, 158, 2.5:1, 48," $23,903,625"," $183,874", 0.8%, 950, 85.2%, 32.6%, 69%, 3.29, 16%, 16%, 3.6, Yes,, 6.5, 363, 315, 28.6%, 25.7%, 34.3%, 48, 54.2%, 10.4%, 31.3%
Stevens Institute of Technology (Schaefer)," 2,483"," 1,341", 799, 314, 29, 29, 2.5, 3.4, 76%, 160, 2.7:1, 43," $29,019,376"," $266,233", 0%," 2,483", 85.4%, 18.9%, N/A, N/A, 41%, 41%, 3.3, Yes,, 7, 976, 933, 61.8%, 9.9%, 23.5%, 43, 69.8%, 4.7%, 27.9%
Syracuse University, 900, 423, 251, 200, 26, 29, 2.6, 3.3, 33.6%, 161, 2.7:1, 38," $11,369,331"," $145,761", 1.3%, 900, 35.9%, 18.9%, 70%, 3.28, 51%, 51%, 3.2, Yes,, 6.5, 494, 456, 67.8%, 10.5%, 22.1%, 38, 81.6%, 5.3%, 26.3%
University of California--Riverside (Bourns), 894, 342, 15, 534, 3, 29, 2.6, 2.8, 55.3%, 164, 4.1:1, 77," $34,592,087"," $274,540", 0.8%, 894, 63.2%, 37.2%, 100%, 3.37, 47%, 47%, 3.4, Yes,, 7, 333, 256, 66%, 19.1%, 23%, 77, 71.4%, 14.3%, 26%
Michigan Technological University, 735, 310, 131, 236, 58, 28, 2.4, 3.5, 23.4%, 159, 1.5:1, 55," $38,640,000"," $272,113", 0%, 735, 26.8%, 14.6%, 31%, 3.5, 51%, 51%, 3.1, Yes,, 6.5, 334, 279, 62%, 3.2%, 22.6%, 55, 65.5%, 1.8%, 21.8%
New Jersey Institute of Technology," 1,986", 906, 773, 271, 36, 28, 2.4, 3.1, 67.4%, 158, 1.6:1, 61," $72,925,561"," $441,973", 0%," 1,986", 68.4%, 46.9%, 38%, 3.42, 29%, 29%, 3, Yes,, 6.5, 936, 875, 47.1%, 31.3%, 28%, 61, 78.7%, 4.9%, 27.9%
University of California--Santa Cruz (Baskin), 659, 243, 12, 381, 23, 28, 2.4, 3, 41.4%, N/A, 3.1:1, 31," $47,185,139"," $410,306", 0.8%, 659, 44.3%, 29.4%, 100%, 2.98, N/A, N/A, N/A, Yes,, 7, 199, 168, 51.8%, 25.6%, 31.5%, 31, 32.3%, 32.3%, 29%
University of Cincinnati," 1,354", 874, 107, 361, 12, 28, 2.5, 3.2, 43%, 161, 2.8:1, 57," $17,698,298"," $133,070", 0%," 1,354", 42.7%, 46%, 96%, 3.5, 41%, 41%, 3.2, Yes,, 6.5, 453, 396, 72.2%, 6.3%, 27.3%, 57, 75.4%, 0%, 24.6%
University of New Mexico, 800, 408, N/A, 392, N/A, 28, 2.5, 3, 61.2%, 156, 4:1, 37," $34,906,000"," $359,856", 1%, 800, 64.7%, 55.3%, 60%, 3.5, 34%, 34%, 3.5, Yes,, 6.5, 233, 196, 27%, 30.6%, 24.5%, 37, 43.2%, 29.7%, 27%
Worcester Polytechnic Institute," 1,171", 322, 529, 251, 69, 28, 2.6, 3.4, 67%, 164, 1.9:1, 35," $27,462,509"," $217,956", 0%," 1,171", 78.7%, 37.3%, N/A, N/A, 34%, 34%, 3.6, Yes,, 7, 487, 452, 27.9%, 18.1%, 23%, 35, 60%, 2.9%, 28.6%
George Mason University (Volgenau)," 2,071", 752, 876, 355, 88, 27, 2.4, 3, 81.6%, 160, 2.4:1, 39," $62,392,965"," $445,664", 0%," 2,071", 85.9%, 57.2%, 78%, 3.46, 22%, 22%, 3.3, Yes,, 6.5, 632, 593, 49.7%, 20.9%, 34.2%, 39, 61.5%, 7.7%, 23.1%
Missouri University of Science & Technology--Rolla," 1,079", 326, 294, 391, 68, 27, 2.7, 3.4, 60.3%, 159, 2.7:1, 104," $35,023,190"," $233,488", 0%," 1,079", 58.5%, 68.3%, N/A, N/A, 6%, 6%, 3.7, Yes,, 6.5, 430, 326, 13.5%, 16%, 15.3%, 104, 68.3%, 5.8%, 19.2%
University of South Florida," 1,001", 410, 200, 349, 42, 27, 2.4, 2.8, 31.1%, 160, 2.9:1, 71," $41,774,000"," $328,929", 0%," 1,001", 31.1%, 31.1%, 26%, 3.3, 29%, 29%, 3, Yes,, 6.5, 417, 346, 71.7%, 10.1%, 26.3%, 71, 71.8%, 11.3%, 36.6%
Binghamton University--SUNY (Watson)," 1,010", 497, 87, 361, 65, 26, 2.2, 3.3, 66.4%, 159, 3.7:1, 60," $19,582,674"," $191,987", 0%," 1,010", 70.8%, 42.6%, 99%, 3.7, 30%, 30%, 3.2, Yes,, 6.5, 519, 459, 64.1%, 12.2%, 26.4%, 60, 71.7%, 21.7%, 30%
Florida A&M University - Florida State University, 730, 212, 118, 334, 66, 26, 2.4, 3.1, 42%, 159, 2.6:1, 39," $31,361,399"," $241,242", 0.8%, 730, 41.3%, 43.3%, 100%, 3.43, 23%, 23%, 3.5, Yes,, 6.5, 155, 116, 21.6%, 27.6%, 28.4%, 39, 51.3%, 30.8%, 10.3%
Texas Tech University (Whitacre)," 1,040", 412, 175, 357, 96, 26, 2.3, 3.2, 64.8%, 160, 2.6:1, 83," $19,634,337"," $144,370", 2.9%," 1,040", 66.3%, 59.3%, N/A, N/A, 27%, 27%, N/A, Yes,, 6.5, 340, 257, 47.1%, 26.5%, 27.6%, 83, 68.7%, 15.7%, 25.3%
University of Missouri, 416, 86, 36, 250, 44, 26, 2.4, 3, 42%, 160, 2.6:1, 64," $30,974,428"," $297,831", 0%, 416, 48.7%, 35.5%, N/A, N/A, 29%, 29%, N/A, Yes,, 6.5, 128, 64, 67.2%, 3.1%, 26.6%, 64, 85.9%, 3.1%, 15.6%
Illinois Institute of Technology (Armour)," 1,249", 588, 427, 212, 22, 25, 2.5, 3.2, 55.4%, 158, 1.9:1, 38," $15,512,058"," $141,019", 2.7%," 1,249", 58.5%, 22.4%, N/A, N/A, 15%, 15%, 4, Yes,, 5.5, 607, 569, 74.5%, 4.7%, 28.5%, 38, 97.4%, 0%, 36.8%
University of Maryland--Baltimore County," 1,477", 644, 510, 263, 60, 25, 2.4, 3.1, 63.2%, N/A, 2.9:1, 31," $17,103,201"," $192,171", 0%," 1,477", 64.2%, 54.9%, N/A, N/A, N/A, N/A, N/A, Yes,, 6.5, 502, 471, 50.5%, 13.8%, 39.5%, 31, 48.4%, 6.5%, 32.3%
University of Oklahoma, 899, 190, 426, 241, 42, 25, 2.4, 3.3, 56.6%, 159, 1.5:1, 43," $27,866,478"," $184,546", 0.6%, 899, 61.5%, 39.2%, 96%, 3.28, 25%, 25%, 3.5, Yes,, 6.5, 276, 233, 30.9%, 18%, 30.9%, 43, 74.4%, 9.3%, 27.9%
Brigham Young University, 431, 247, N/A, 184, N/A, 24, 2.5, 3.2, 55.8%, 161, 1.4:1, 20," $17,332,020"," $148,137", 0%, 431, 59.1%, 45.3%, 92%, 3.6, 92%, 92%, 4.2, Yes,, 7, 110, 90, 7.8%, 11.1%, 8.9%, 20, 25%, 10%, 15%
University of Alabama--Huntsville, 810, 153, 464, 102, 91, 24, 2.3, 2.9, 81.3%, 157, 1.3:1, 29," $67,177,934"," $819,243", 0%, 810, 86.2%, 66.2%, 41%, 3.5, 18%, 18%, 3.6, Yes,, 6, 180, 151, 21.2%, 7.9%, 19.9%, 29, 55.2%, 10.3%, 24.1%
University of Georgia, 181, 57, 5, 117, 2, 24, 2.4, 3, 53.1%, 161, 2:1, 12," $13,703,144"," $224,642", 3.3%, 181, 60.6%, 45.3%, 100%, 3.43, 68%, 68%, 3.4, Yes,, 6.5, 42, 30, 30%, 30%, 50%, 12, 66.7%, 0%, 25%
University of Kansas, 466, 144, 77, 223, 22, 24, 2.5, 3.2, 68.7%, 160, 2:1, 39," $17,061,434"," $138,711", 0%, 466, 72.2%, 64.4%, 100%, 3.53, 19%, 19%, 3.8, Yes,, 5.5, 156, 117, 29.9%, 16.2%, 23.1%, 39, 69.2%, 2.6%, 10.3%
University of Kentucky, 463, 124, 40, 282, 17, 24, 2.4, 3.1, 58.9%, 159, 1.7:1, 48," $44,698,374"," $264,487", 0%, 463, 69.4%, 51.8%, 95%, 3.44, 48%, 48%, 3.5, Yes,, 6.5, 99, 51, 21.6%, 15.7%, 23.5%, 48, 58.3%, 8.3%, 18.8%
University of Nebraska--Lincoln, 646, 157, 149, 340, 0, 24, 2.5, 3, 57.5%, 158, 1.8:1, 59," $39,756,241"," $204,929", 1.1%, 646, 65.4%, 50.2%, 67%, 3.52, 17%, 17%, 3.4, Yes,, 6.5, 199, 140, 25.7%, 8.6%, 20%, 59, 69.5%, 3.4%, 23.7%
University of South Carolina, 572, 162, 64, 311, 35, 24, 2.3, 3, 63%, 159, 2.5:1, 44," $24,936,000"," $199,488", 3.2%, 572, 79.7%, 48.6%, 92%, 3.4, 41%, 41%, 3.4, Yes,, 6.5, 136, 92, 40.2%, 56.5%, 37%, 44, 79.5%, 88.6%, 20.5%
Embry-Riddle Aeronautical University, 328, 193, 27, 103, 5, 23, 2.3, 3.5, 40.6%, 158, 1.1:1, 11," $16,999,160"," $182,787", 0%, 328, 42.6%, 33.3%, N/A, N/A, 23%, 23%, 3.4, Yes,, 6, 141, 130, 47.7%, 10%, 20.8%, 11, 81.8%, 0%, 54.5%
Kansas State University, 364, 66, 116, 157, 25, 23, 2.4, 3.2, 56.6%, 159, 1.4:1, 40," $20,549,137"," $171,243", 0%, 364, 63.6%, 48.8%, 94%, 3.35, 31%, 31%, 3.5, Yes,, 6.5, 104, 64, 25%, 9.4%, 17.2%, 40, 72.5%, 10%, 22.5%
Louisiana State University--Baton Rouge, 612, 111, 157, 294, 50, 23, 2.4, 3.2, 94.2%, 159, 2.1:1, 64," $22,397,000"," $152,361", 0%, 612, 95.4%, 93.8%, 70%, 3.32, 39%, 39%, 3.3, Yes,, 6.5, 178, 114, 40.4%, 14%, 22.8%, 64, 70.3%, 6.3%, 21.9%
Mississippi State University (Bagley), 790, 149, 202, 205, 234, 23, 2.2, 3, 55.7%, 160, 2:1, 45," $52,609,866"," $473,963", 0%, 790, 53.1%, 59%, 58%, 3.5, 9%, 9%, 3, Yes,, 4.5, 144, 99, 31.3%, 40.4%, 29.3%, 45, 53.3%, 31.1%, 31.1%
Naval Postgraduate School, 940, 538, 353, 49, N/A, 23, 2.7, 3.5, N/A, N/A, 0.5:1, 10," $30,309,346"," $280,642", 0%, 940, N/A, N/A, N/A, N/A, N/A, N/A, N/A, No, N/A, N/A, 470, 460, 6.3%, 23.5%, 18.3%, 10, N/A, 10%, 20%
University of Miami, 232, 82, 16, 131, 3, 23, 2.3, 3, 67.3%, 157, 2.2:1, 38," $9,107,376"," $130,105", 5.1%, 232, 71.7%, 54.9%, 23%, 3.64, 28%, 28%, 3.9, Yes,, 6.5, 107, 69, 37.7%, 30.4%, 31.9%, 38, 50%, 21.1%, 28.9%
West Virginia University (Statler), 601, 235, 115, 218, 33, 22, 2.3, 2.9, 46.8%, 159, 1.9:1, 44," $21,802,659"," $200,024", 0%, 601, 58.4%, 30.9%, 100%, 3.49, 43%, 43%, 3.6, Yes,, 6.5, 196, 152, 31.6%, 10.5%, 25.7%, 44, 70.5%, 13.6%, 22.7%
Oklahoma State University, 564, 142, 202, 188, 32, 21, 2.4, 3.1, 73.6%, 156, 1.4:1, 34," $26,564,437"," $198,242", 0%, 564, 85.8%, 39.9%, 77%, 3.32, 47%, 47%, 3, Yes,, 6.5, 150, 116, 44.8%, 13.8%, 22.4%, 34, 76.5%, 0%, 14.7%
University of Alabama, 650, 99, 158, 291, 102, 21, 2.4, 2.9, 52.8%, 161, 2:1, 36," $35,213,162"," $242,849", 0%, 650, 52.9%, 52.7%, 5%, 3.53, 13%, 13%, 3.8, Yes,, 6.5, 151, 115, 15.7%, 7%, 29.6%, 36, 63.9%, 2.8%, 8.3%
University of Arkansas--Fayetteville, 620, 126, 207, 198, 89, 21, 2.3, 2.8, 44.4%, 158, 1.8:1, 50," $27,816,783"," $235,735", 0%, 620, 46.9%, 41.6%, 100%, 3.4, 31%, 31%, 3.6, Yes,, 6.5, 188, 138, 16.7%, 22.5%, 22.5%, 50, 66%, 10%, 18%
University of California--Merced, 240, 26, 1, 213, 0, 21, 2.1, 2.6, 35.3%, 157, 3.7:1, 23," $13,167,110"," $239,402", 1.8%, 240, 52.3%, 27.6%, 100%, 3.1, 100%, 100%, 3.6, Yes,, 6.5, 36, 13, 53.8%, 15.4%, 38.5%, 23, 60.9%, 0%, 34.8%
Utah State University, 369, 205, 0, 164, 0, 21, 2.2, 2.9, 54.8%, 159, 1.8:1, 25," $24,724,247"," $263,024", 0%, 369, 61.1%, 42.9%, 100%, 3.47, 100%, 100%, 4, Yes,, 6, 125, 100, 17%, 2%, 18%, 25, 40%, 4%, 20%
Baylor University, 131, 45, 0, 86, 0, 20, 2.3, 3, 61.5%, 162, 1.9:1, 9," $4,553,998"," $99,000", 0%, 131, 50.9%, 76.3%, 11%, 3.58, 7%, 59%, 4, Yes,, 6.5, 39, 30, 30%, 16.7%, 23.3%, 9, 66.7%, 11.1%, 0%
Oregon Health and Science University, 69, N/A, N/A, 68, 1, 20, 2.1, 2.7, 43.9%, N/A, 1.8:1, 6," $15,869,033"," $428,893", 0%, 69, N/A, 43.9%, 0%, N/A, N/A, N/A, N/A, Yes,, N/A, 6, N/A, N/A, N/A, N/A, 6, 16.7%, 16.7%, 66.7%
SMU (Lyle), 854, 131, 565, 90, 68, 20, 2.2, 3, 66.8%, 161, 1.6:1, 23," $6,936,075"," $115,601", 1.8%, 854, 68.9%, 50.9%, 100%, 3.05, 19%, 19%, 3, Yes,, 6.5, 302, 279, 26.9%, 36.9%, 28.3%, 23, 78.3%, 8.7%, 17.4%
Temple University, 326, 71, 57, 182, 16, 20, 2.2, 3, 62.9%, 159, 2.8:1, 18," $8,639,241"," $125,206", 0%, 326, 73.7%, 54.1%, 98%, 3.46, 20%, 20%, 3.5, Yes,, 6.5, 89, 71, 52.1%, 16.9%, 29.6%, 18, 77.8%, 11.1%, 44.4%
Tulane University, 140, 27, 0, 113, 0, 20, 2.3, 3.2, 34.1%, N/A, 2.9:1, 19," $7,584,612"," $194,477", 0%, 140, 71.9%, 23.5%, 94%, 3.5, N/A, N/A, N/A, No, N/A, N/A, 49, 30, 3.3%, 10%, 40%, 19, 78.9%, 5.3%, 31.6%
Clarkson University, 304, 83, 101, 115, 5, 19, 2.1, 3.3, 62.9%, 160, 1.4:1, 19," $5,696,834"," $72,112", 0%, 304, 66.2%, 59.5%, 73%, 3.6, 28%, 28%, 4, Yes,, 6.5, 98, 79, 17.7%, 12.7%, 22.8%, 19, 78.9%, 15.8%, 26.3%
Florida International University," 1,136", 341, 411, 366, 18, 19, 2.0, 2.7, 54.3%, 157, 3.3:1, 55," $34,820,277"," $319,452", 0%," 1,136", 57.5%, 45.9%, 93%, 3.39, 9%, 9%, 3, Yes,, 6.5, 463, 408, 49.3%, 43.4%, 31.6%, 55, 81.8%, 12.7%, 20%
University of Colorado--Denver, 491, 289, 102, 33, 67, 19, 2.1, 2.8, 36.9%, 159, 0.7:1, 15," $10,531,165"," $210,623", 0%, 491, 37.9%, 26.8%, 72%, 3.14, 26%, 26%, 3, Yes,, 6.5, 116, 101, 38.6%, 22.8%, 28.7%, 15, 40%, 26.7%, 40%
University of Massachusetts--Lowell (Francis)," 1,124", 302, 499, 211, 112, 19, 2.2, 3, 76.1%, 158, 1.7:1, 42," $31,272,815"," $269,593", 0.8%," 1,124", 85.6%, 38.7%, 93%, 3.4, 9%, 9%, 3.2, Yes,, 6.5, 400, 358, 24.9%, 19.8%, 21.8%, 42, 59.5%, 2.4%, 40.5%
Virginia Commonwealth University, 322, 44, 93, 159, 26, 19, 2.3, 2.8, 62.9%, 159, 1.8:1, 23," $25,971,243"," $291,812", 1.1%, 322, 76.4%, 47.3%, 81%, 3.3, 11%, 11%, 4.1, Yes,, 6.5, 55, 32, 12.5%, 21.9%, 18.8%, 23, 56.5%, 13%, 13%
Boise State University, 299, 65, 74, 132, 28, 18, 2.2, 2.7, 57.8%, 160, 1.9:1, 19," $14,240,658"," $206,386", 0%, 299, 68.4%, 48.6%, 47%, 3.64, 26%, 26%, 4, Yes,, 6.5, 55, 36, 47.2%, 11.1%, 16.7%, 19, 26.3%, 21.1%, 26.3%
Howard University, 84, 11, 3, 58, 12, 18, 2.3, 3, 51.7%, 152, 1.2:1, 4," $6,657,506"," $141,649", 2.1%, 84, 12.5%, 66.7%, 13%, 3.49, 25%, 25%, 4.5, Yes,, 6.5, 11, 7, 28.6%, 71.4%, 42.9%, 4, 50%, 50%, 25%
Indiana University-Purdue University--Indianapolis, 340, 117, 95, 44, 84, 18, 2.4, 3.4, 65.3%, 159, 0.7:1, 3," $5,966,604", N/A, 0%, 340, 65.5%, 64.3%, 37%, 3.5, 11%, 15%, 3.4, Yes,, 6.5, 169, 166, 62%, 3%, 24.1%, 3, 66.7%, 0%, 66.7%
San Diego State University, 290, 109, 118, 63, N/A, 18, 2.2, 3.1, 59.6%, 160, 0.9:1, 3," $5,746,666"," $84,510", 0%, 290, 66.1%, 24%, 100%, 3.2, 100%, 100%, 3.5, Yes,, 6.5, 97, 94, 30.9%, 17%, 42.6%, 3, 33.3%, 0%, 66.7%
University of Louisville (Speed), 727, 209, 348, 151, 19, 18, 2.2, 3.2, 67.7%, 159, 1.7:1, 23," $12,931,112"," $142,100", 0%, 727, 79.5%, 38.1%, 86%, 3.24, 3%, 3%, 3.4, Yes,, 6.5, 258, 235, 12.8%, 14.5%, 24.7%, 23, 82.6%, 0%, 13%
University of Maine, 275, 150, 48, 76, 1, 18, 2.0, 2.6, 56.8%, 160, 1.1:1, 11," $31,607,619"," $464,818", 0%, 275, 63.4%, 42.4%, N/A, N/A, 19%, 19%, N/A, Yes,, 6.5, 42, 31, 19.4%, 9.7%, 29%, 11, 90.9%, 0%, 27.3%
University of Nevada--Reno, 390, 95, 66, 192, 37, 18, 2.1, 2.5, 63.6%, 159, 2.2:1, 27," $24,159,584"," $262,604", 0%, 390, 78.3%, 51%, 100%, 3.43, 62%, 62%, 3.7, Yes,, 6.5, 100, 73, 42.5%, 60.3%, 20.5%, 27, 88.9%, 92.6%, 25.9%
University of North Texas," 1,465"," 1,097", 125, 224, 19, 18, 1.9, 2.6, 70.6%, 160, 2.5:1, 24," $14,980,551"," $176,242", 0%," 1,465", 71.5%, 54.4%, 95%, 3.4, 32%, 32%, 2.8, Yes,, 6, 198, 174, 71.8%, 15.5%, 35.1%, 24, 79.2%, 8.3%, 25%
University of Wyoming, 242, 63, 26, 122, 31, 18, 2.0, 2.6, 49.7%, 160, 1.8:1, 29," $18,569,691"," $261,545", 0%, 242, 56.3%, 42.9%, 97%, 3.52, 55%, 55%, 3.9, Yes,, 6.5, 66, 37, 43.2%, 5.4%, 18.9%, 29, 79.3%, 0%, 17.2%
CUNY--City College (Grove), 394, 114, 128, 145, 7, 17, 2.2, 2.6, 58.8%, 158, 1.4:1, 22," $29,822,872"," $271,117", 0%, 394, 67.2%, 35.3%, 89%, 3.32, 9%, 9%, 3.6, Yes,, N/A, 117, 95, 23.2%, 24.2%, 33.7%, 22, 77.3%, 9.1%, 40.9%
Marquette University, 277, 39, 85, 90, 63, 17, 2.1, 2.9, 67.9%, 158, 1.5:1, 12," $11,974,823"," $190,077", 0%, 277, 73.9%, 63.1%, 83%, 3.33, 25%, 25%, 3.3, Yes, N/A, N/A, 67, 55, 30.9%, 21.8%, 40%, 12, 75%, 0%, 25%
Montana State University, 241, 122, N/A, 119, N/A, 17, 2.0, 2.8, 54.5%, 158, 1.6:1, 10," $18,311,828"," $217,998", 0%, 241, 69.2%, 32.5%, 61%, 3.39, 30%, 30%, 3.8, Yes,, 6.5, 59, 49, 16.3%, 6.1%, 18.4%, 10, 50%, 0%, 30%
New Mexico State University, 408, 119, 123, 138, 28, 17, 2.0, 2.6, 62.1%, 157, 2:1, 38," $16,113,870"," $209,271", 1.5%, 408, 66.3%, 54.8%, 96%, 3.3, 29%, 29%, 3.1, Yes,, 6.5, 142, 104, 27.9%, 60.6%, 21.2%, 38, 55.3%, 47.4%, 21.1%
Santa Clara University, 592, 371, 160, 25, 36, 17, 2.1, 2.9, 59.3%, 162, 0.5:1, 7," $1,690,114"," $35,211", 0%, 592, 59.5%, 54.5%, 79%, 3.35, 74%, 74%, 3.5, Yes, N/A, 6.5, 236, 229, 52.4%, 76.4%, 36.7%, 7, 57.1%, 28.6%, 14.3%
SUNY Polytechnic Institute, 77, 5, 4, 38, 30, 17, 1.9, 2.7, 39.7%, N/A, 1.6:1, 8," $11,530,816"," $480,451", 0%, 77, 50%, 38.7%, 100%, 3.35, N/A, N/A, N/A, Yes,, 6.5, 10, 2, 100%, 100%, 50%, 8, 25%, 12.5%, 50%
New Mexico Institute of Mining and Technology, 220, 95, 70, 36, 19, 16, 1.9, 2.9, 73.9%, 157, 0.7:1, 7," $18,254,096"," $338,039", 0%, 220, 75.8%, 68.3%, N/A, N/A, 38%, 38%, 3.4, Yes,, 6, 68, 61, 26.2%, 42.6%, 24.6%, 7, 71.4%, 0%, 0%
North Carolina A&T State University, 328, 120, 40, 87, 81, 16, 2.1, 3.2, 97.4%, 154, 1.2:1, 25," $8,439,737"," $114,051", 0%, 328, 96.8%, 98.6%, 95%, 3.24, 18%, 18%, 3, Yes,, 6, 80, 55, 43.6%, 41.8%, 36.4%, 25, 60%, 36%, 36%
University of Denver , 495, 247, 176, 67, 5, 16, 1.9, 2.6, N/A, N/A, 3.4:1, 13, N/A, N/A, 0%, 495, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6, 115, 102, 27.5%, 18.6%, 36.3%, 13, 76.9%, 7.7%, 23.1%
University of New Hampshire, 260, 77, 55, 105, 23, 16, 2.2, 2.9, 73.1%, 150, 1.5:1, 19," $18,429,000"," $271,015", 0%, 260, 69.7%, 79.5%, 90%, 3.57, 14%, 14%, 3.9, Yes,, 6.5, 72, 53, 35.8%, 3.8%, 35.8%, 19, 68.4%, 5.3%, 21.1%
University of Tulsa, 231, 64, 60, 101, 6, 16, 1.8, 2.6, 59.5%, 159, 2.2:1, 20," $12,290,210"," $279,323", 0%, 231, 61.7%, 53.9%, 100%, 3.32, 46%, 46%, N/A, Yes,, 6.5, 78, 58, 34.5%, 10.3%, 15.5%, 20, 65%, 10%, 15%
University of Vermont, 214, 51, 70, 83, 10, 16, 2.1, 2.5, 58.5%, 161, 2.3:1, 15," $9,952,222"," $261,901", 2.8%, 214, 79%, 37.1%, 80%, 3.6, 10%, 10%, 4.2, Yes,, 6.5, 67, 52, 13.5%, 7.7%, 23.1%, 15, 40%, 6.7%, 6.7%
Alfred University--New York State College of Ceramics  (Inamori), 37, 12, 9, 14, 2, N/A, 1.9, 2.7, 60%, N/A, 0.6:1, 2," $2,088,022"," $80,309", 0%, 37, 60%, 60%, 50%, 3.54, N/A, N/A, N/A, Yes,, 6.5, 7, 5, N/A, 20%, 20%, 2, 50%, N/A, 50%
Cleveland State University (Washkewicz)," 1,113", 821, 216, 59, 17, N/A, 1.8, 2.3, 15.5%, N/A, 1.1:1, 8," $2,629,341"," $50,564", 0%," 1,113", 15.1%, 49.1%, N/A, N/A, N/A, N/A, N/A, Yes,, 6, 152, 144, 47.9%, 7.6%, 32.6%, 8, 75%, 0%, 12.5%
Florida Atlantic University, 491, 139, 192, 65, 95, N/A, 1.9, 2.5, 91%, 155, 1.1:1, 15," $15,500,398"," $250,006", 0%, 491, 89%, 95.9%, 100%, 3.41, 100%, 100%, 3.8, Yes,, 6, 140, 125, 29.6%, 32%, 27.2%, 15, 46.7%, 20%, 13.3%
Florida Institute of Technology, 588, 194, 246, 134, 14, N/A, 2.0, 2.9, 51.5%, 147, 1.5:1, 31," $9,026,339"," $94,024", 0%, 588, 51.5%, 51.1%, N/A, N/A, 4%, 6%, N/A, Yes,, 6, 275, 244, 36.9%, 5.7%, 27.5%, 31, 80.6%, 0%, 12.9%
Jackson State University, 64, 5, 14, 14, 31, N/A, 1.6, 2.1, 62.5%, N/A, N/A, 6, N/A, N/A, 0%, 64, 73.3%, 56%, 3%, 3, N/A, N/A, N/A, Yes,, 6.5, 15, 9, 11.1%, N/A, 11.1%, 6, 0%, N/A, 33.3%
Lamar University, 294, 183, 37, 60, 14, N/A, 1.6, 2.1, 91.1%, N/A, 1.8:1, 17," $1,867,999"," $45,561", 0%, 294, 89.8%, 96%, 5%, 3.03, N/A, N/A, N/A, Yes,, 6.5, 75, 58, 32.8%, 41.4%, 27.6%, 17, 11.8%, 70.6%, 11.8%
Lawrence Technological University, 176, 16, 147, 0, 13, N/A, 1.6, 2.7, 38.8%, N/A, 0:1, 6," $553,341"," $12,868", 0%, 176, 39%, 33.3%, 69%, 3.1, N/A, N/A, N/A, Yes,, 6.5, 148, 142, 59.9%, 3.5%, 25.4%, 6, 83.3%, 0%, 16.7%
